안전시설명,안전시설전화번호,소재지도로명주소,소재지지번주소,위도,경도,현존주소여부
다시면가,031-594-1388,경기도 남양주시 화도읍 경춘로 2348,경기도 남양주시 화도읍 답내리 185-3,37.65778003,127.348381,S
다시면가,031-594-1388,경기도 남양주시 화도읍 경춘로 2348,경기도 남양주시 화도읍 답내리 185-3,37.65778003,127.348381,S
세븐일레븐(마석점),031-595-6316,경기도 남양주시 화도읍 마석중앙로 63-1,경기도 남양주시 화도읍 마석우리 292-27번지,37.65250614,127.3070181,S
세븐일레븐(마석점),031-595-6316,경기도 남양주시 화도읍 마석중앙로 63-1,경기도 남양주시 화도읍 마석우리 292-27번지,37.65250614,127.3070181,S
정흥교헤어샵,031-594-0020,경기도 남양주시 화도읍 마석로61번길 18-25,경기도 남양주시 화도읍 마석우리 379-3,37.65733393,127.3040459,S
정흥교헤어샵,031-594-0026,경기도 남양주시 화도읍 마석로61번길 18-25,경기도 남양주시 화도읍 마석우리 379-3,37.65733393,127.3040459,S
샤프걸미용실,031-591-0256,경기도 남양주시 화도읍 마석로 74,경기도 남양주시 화도읍 마석우리 404-7,37.65741947,127.3058255,S
샤프걸미용실,031-591-0256,경기도 남양주시 화도읍 마석로 74,경기도 남양주시 화도읍 마석우리 404-7,37.65741947,127.3058255,S
청개구리&amp;베짱이문구,031-593-2887,경기도 남양주시 화도읍 마석로45번길 37,경기도 남양주시 화도읍 마석우리 587,37.65478098,127.3017692,S
청개구리앤베짱이,031-593-2887,경기도 남양주시 화도읍 마석로45번길 37,경기도 남양주시 화도읍 마석우리 587,37.65478098,127.3017692,S
한림슈퍼-나들가게,031-593-7627,경기도 남양주시 화도읍 먹갓로28번길 72-3,경기도 남양주시 화도읍 묵현리 369-1,37.65719765,127.2825475,S
한림슈퍼-나들가게,031-593-7627,경기도 남양주시 화도읍 먹갓로28번길 72-3,경기도 남양주시 화도읍 묵현리 369-1,37.65719765,127.2825475,S
GS25(화도묵현점),031-593-9127,경기도 남양주시 화도읍 먹갓로 30,경기도 남양주시 화도읍 묵현리 435-4,37.65680177,127.274602,S
Gs25(화도묵현점),031-593-9167,경기도 남양주시 화도읍 먹갓로 30,경기도 남양주시 화도읍 묵현리 435-4,37.65680177,127.274602,S
미니스톱(천마산점),031-595-5178,경기도 남양주시 화도읍 먹갓로 40,경기도 남양주시 화도읍 묵현리 437,37.6577483,127.2743787,S
미니스톱(천마산점),031-595-5178,경기도 남양주시 화도읍 먹갓로 40,경기도 남양주시 화도읍 묵현리 437,37.6577483,127.2743787,S
첫단추유치원,031-594-4300,경기도 남양주시 화도읍 비룡로116번길 31,경기도 남양주시 화도읍 묵현리 53,37.66402618,127.3047983,S
첫단추유치원,031-594-4300,경기도 남양주시 화도읍 비룡로116번길 33-1,경기도 남양주시 화도읍 묵현리 53-4,37.66433294,127.3046296,S
세븐일레븐(묵현천마점),031-511-0798,경기도 남양주시 화도읍 먹갓로서길 31-16,경기도 남양주시 화도읍 묵현리 572-6,37.65980722,127.2723236,S
세븐일레븐(묵현천마점),031-511-0798,,경기도 남양주시 화도읍 묵현리 572-8,,,F
쭈노떡볶이(마석점),031-511-4548,경기도 남양주시 화도읍 비룡로 117,경기도 남양주시 화도읍 묵현리 70-3,37.66222127,127.3024337,S
쭈노떡볶이,031-511-4548,경기도 남양주시 화도읍 비룡로 117,경기도 남양주시 화도읍 묵현리 70-3,37.66222127,127.3024337,S
화도성중화요리,031-592-4774,,경기도 남양주시 화도읍 차산리 63 63-39,,,F
화도성중화요리,031-592-4773,경기도 남양주시 화도읍 수레로 1118,경기도 남양주시 화도읍 차산리 63-39,37.63689119,127.3039634,S
크린스피드,070-4063-4726,경기도 남양주시 화도읍 수레로 1111,경기도 남양주시 화도읍 차산리 83-6,37.63678469,127.3033285,S
크린스피드,070-4063-4726,경기도 남양주시 화도읍 수레로 1111,경기도 남양주시 화도읍 차산리 83-6,37.63678469,127.3033285,S
블럭왕,031-595-1097,경기도 남양주시 화도읍 수레로 1105-31,경기도 남양주시 화도읍 차산리 84-11,37.63689664,127.3018222,S
블럭왕,031-595-1007,경기도 남양주시 화도읍 수레로 1105-31,경기도 남양주시 화도읍 차산리 84-11,37.63689664,127.3018222,S
CU화도보경점,031-511-7839,경기도 남양주시 화도읍 수레로1120번길 60,경기도 남양주시 화도읍 창현리 320-5번지,37.63642488,127.3101021,S
세븐일레븐(화도창현점),031-512-9409,경기도 남양주시 화도읍 창현로 51,경기도 남양주시 화도읍 창현리 555번지,37.64611362,127.3053264,S
세븐일레븐(화도창현점),031-511-9409,경기도 남양주시 화도읍 창현로 51,경기도 남양주시 화도읍 창현리 555번지,37.64611362,127.3053264,S
신한거성문구,031-511-8881,,경기도 남양주시 화도읍 창현리 745,37.64853383,127.3031266,S
신한거성문구,031-511-8881,,경기도 남양주시 화도읍 창현리 764,37.64569449,127.3000785,S
동두천우체국(광암동지점),031-867-2105,경기도 동두천시 광암로17번길 40,경기도 동두천시 광암동 486-6번지,37.89677549,127.084206,S
재미난시골밥상,031-867-5340,경기도 동두천시 원터강변로31번길 5,경기도 동두천시 동두천동 209-15번지,37.92440603,127.0538692,S
좋은문구,031-861-1030,,경기도 동두천시 동두천동 211-1번지 유진빌라,37.92416259,127.0543126,S
송내자동차공업사,031-865-8102,경기도 동두천시 원터강변로17번길 10,경기도 동두천시 동두천동 211-6번지,37.92393798,127.052868,S
신흥간병요양원,031-867-4051,경기도 동두천시 강변로702번길 13-11,경기도 동두천시 동두천동 539-2,37.92987621,127.0501536,S
신흥신망애복지원,031-861-5500,경기도 동두천시 강변로702번길 13-11,경기도 동두천시 동두천동 539-2번지,37.92987621,127.0501536,S
GS25시 보산점,031-868-6383,경기도 동두천시 동광로 154,경기도 동두천시 보산동 407-48번지,37.91374503,127.0604234,S
봉암마트,031-867-5420,경기도 동두천시 봉동로40번길 47,경기도 동두천시 상봉암동 236-3번지,37.94809959,127.0556718,S
상봉슈퍼,031-866-4799,경기도 동두천시 봉동로 96-2,경기도 동두천시 상봉암동 261-4번지,37.9499927,127.0530108,S
애신아동복지센터,031-865-3978,,경기도 동두천시 생연동,,,F
나누미 할인마트,031-868-6161,,경기도 동두천시 생연동 163-4번지 생연주공아파트,37.91315776,127.0637321,S
동두천아동센터,031-865-4898,경기도 동두천시 장고갯로138번길 16-13,경기도 동두천시 생연동 214-12번지,37.90638095,127.0671491,S
에이스슈퍼,031-864-1267,경기도 동두천시 행선로 98,경기도 동두천시 생연동 342-4번지,37.89674347,127.0624225,S
그린슈퍼마켓,031-862-7960,경기도 동두천시 행선로 101,경기도 동두천시 생연동 349-1번지,37.89722105,127.0622637,S
로얄미용실,031-868-4486,경기도 동두천시 생골로 24,경기도 동두천시 생연동 391-1번지,37.90005096,127.0602649,S
우리약국,031-868-5005,경기도 동두천시 생골로 36,경기도 동두천시 생연동 400-4번지,37.9000772,127.0618681,S
갑순이네떡볶이,031-867-6835,경기도 동두천시 생골로 35,경기도 동두천시 생연동 406-1번지,37.90041049,127.0619821,S
생연할인마트,031-863-1327,경기도 동두천시 송터로 17,경기도 동두천시 생연동 465-5번지,37.90879823,127.0618182,S
화이트문구,031-863-4946,경기도 동두천시 평화로 2456-2,경기도 동두천시 생연동 480-19번지,37.90696205,127.0582918,S
동두천우체국,031-862-2003,경기도 동두천시 평화로 2518,경기도 동두천시 생연동 508-1번지,37.91260196,127.0580913,S
동두천메디슨,031-865-2614,경기도 동두천시 중앙로 269,경기도 동두천시 생연동 593-7번지,37.90544154,127.0537083,S
금호슈퍼,,,경기도 동두천시 생연동 786-2번지 금호연립주택,37.89802054,127.0470976,S
좋은열매어린이집,031-864-8852,경기도 동두천시 강변로336번길 18,경기도 동두천시 생연동 791-2번지,37.89963324,127.0470076,S
푸른정육점,031-861-0780,경기도 동두천시 삼육사로 896,경기도 동두천시 생연동 806-3번지,37.89985759,127.049293,S
야쿠르트(동두천지점),031-861-1555,경기도 동두천시 생연로 103-5,경기도 동두천시 생연동 819-41번지,37.90180327,127.050147,S
파주슈퍼,031-865-3283,경기도 동두천시 생연로 102,경기도 동두천시 생연동 821-29번지,37.90157784,127.0506244,S
오렌지25시,031-859-7852,경기도 동두천시 동두천로 13,경기도 동두천시 송내동 695-2번지,37.88271995,127.0538973,S
동두천우체국(중앙동지점),031-862-2001,경기도 동두천시 중앙로273번길 23,경기도 동두천시 중앙동 590-11,37.9058835,127.0525374,S
이마트24,031-863-6053,,경기도 동두천시 지행동 270-3번지 지행주공아파트,37.89477229,127.0586237,S
대방할인마트,031-861-5584,경기도 동두천시 동두천로 151,경기도 동두천시 지행동 692-3번지 대방샤인힐 상가단지,37.89490928,127.0545651,S
동두천우체국(지행동지점),031-857-0700,경기도 동두천시 중앙로 136,경기도 동두천시 지행동 692-7번지,37.89352273,127.0525064,S
지행온누리,031-864-1475,경기도 동두천시 지행로 59,경기도 동두천시 지행동 695번지,37.89257623,127.0537336,S
이담종합문구,031-861-0511,,경기도 동두천시 지행동 717-2,37.89068608,127.0493441,S
길손식당,031-868-5777,경기도 동두천시 탑신로 127,경기도 동두천시 탑동동 354-2번지,37.89282768,127.109008,S
바른손약국,032-343-4217,,경기도 부천시 경인로536번길 20-0,,,F
코리아문구,032-673-3321,경기도 부천시 고강로 92,경기도 부천시 고강동 282-1,37.52995344,126.8144926,S
한국야쿠르트,032-672-8615,경기도 부천시 고강로92번길 29,경기도 부천시 고강동 286-5,37.5286742,126.8145976,S
세븐일레븐(은데미점),032-684-5940,경기도 부천시 성지로 20,경기도 부천시 고강동 298-18,37.52092147,126.8119588,S
CU편의점(고강점),032-675-9920,경기도 부천시 원종로 120,경기도 부천시 고강동 304-4,37.52386986,126.8132975,S
흴라 인티모,032-382-0839,경기도 부천시 역곡로481번길 14,경기도 부천시 고강동 319-5,37.52787366,126.8154368,S
늘사랑교회,032-676-7202,경기도 부천시 고리울로 80,경기도 부천시 고강동 329-4,37.52664456,126.8246485,S
CU편의점(고강삼원),032-683-0905,경기도 부천시 고리울로8번길 29,경기도 부천시 고강동 372,37.52642543,126.8169337,S
에이스팬시문구,032-682-8825,경기도 부천시 고리울로28번길 14,경기도 부천시 고강동 377-28,37.52681576,126.8187881,S
재은문구,032-675-1768,경기도 부천시 고리울로40번길 23,경기도 부천시 고강동 388-15,37.52620543,126.8202942,S
초이스헤어아트,032-348-9702,경기도 부천시 경인로484번길 76,경기도 부천시 괴안동 100번지,37.4800692,126.8111584,S
신대원,032-344-0048,경기도 부천시 경인로484번길 35,경기도 부천시 괴안동 107-14번지,37.48184276,126.8102946,S
88마트,032-343-9842,경기도 부천시 경인로498번길 77,경기도 부천시 괴안동 119번지,37.48087383,126.8128522,S
삼보할인마트,070-7531-7621,경기도 부천시 부광로 19,경기도 부천시 괴안동 125-5번지,37.4829561,126.8134574,S
GS25편의점(소사타운점),032-345-9416,경기도 부천시 경인로526번길 27-1,경기도 부천시 괴안동 130-4번지,37.48398431,126.8141332,S
하은문구,032-344-1565,경기도 부천시 경인로536번길 26,경기도 부천시 괴안동 130-9번지,37.48437338,126.8151611,S
린헤어,070-7321-2595,경기도 부천시 부광로35번길 69,경기도 부천시 괴안동 165-12번지,37.48340368,126.8173004,S
원마트,032-343-0957,경기도 부천시 안곡로 196,경기도 부천시 괴안동 185-24번지,37.48556883,126.8190702,S
꿈나무아동종합상담소,032-344-7205,경기도 부천시 안곡로194번길 14,경기도 부천시 괴안동 185-35번지,37.4862101,126.820075,S
대도문구,032-344-7278,경기도 부천시 경인로 583,경기도 부천시 괴안동 190-13번지,37.48767733,126.8191781,S
미니스톱,032-341-5315,경기도 부천시 소안로 42-1,경기도 부천시 괴안동 204-1번지,37.47698247,126.8025177,S
한국문구,032-341-7707,경기도 부천시 소사동로 91,경기도 부천시 괴안동 238-7번지,37.47398521,126.8043231,S
양지문구,,경기도 부천시 안곡로 136,경기도 부천시 괴안동 26-1번지,37.48117624,126.8160397,S
GS25     (부천삼익점),032-347-2555,,경기도 부천시 괴안동 30-4,37.47679204,126.8017946,S
CEO헤어갤러리,032-349-0333,경기도 부천시 안곡로 36,경기도 부천시 괴안동 71-1번지,37.47887185,126.8062661,S
낙원마트,032-341-5868,경기도 부천시 안곡로79번길 17,경기도 부천시 괴안동 99-11번지,37.47904162,126.8108783,S
종원슈퍼(나들가게),,경기도 부천시 삼작로118번길 18,경기도 부천시 내동 17-3,37.5193404,126.7740234,S
(부천시)CU도당누리점,032-676-4939,경기도 부천시 성곡로69번길 93,경기도 부천시 도당동 105-4번지,37.51859069,126.7923844,S
(부천시)셀파우등생교실,032-675-6958,경기도 부천시 신흥로335번길 12,경기도 부천시 도당동 214-28,37.51356601,126.7745161,S
(부천시)천지공인중개사무소,032-677-3339,경기도 부천시 수도로66번길 23,경기도 부천시 도당동 214-41,37.51342997,126.7740528,S
(부천시)농심슈퍼,032-676-6060,경기도 부천시 부천로263번길 18,경기도 부천시 도당동 263-29,37.50736867,126.784827,S
(부천시)좋은친구들문구점,032-675-0413,경기도 부천시 길주로391번길 72,경기도 부천시 도당동 264-24,37.50659478,126.7853495,S
(부천시)성가약국,032-676-3200,경기도 부천시 부천로245번길 40,경기도 부천시 도당동 265-39,37.50587169,126.7841075,S
(부천시)럭키슈퍼,032-683-9256,,경기도 부천시 도당동 266-4,37.50620365,126.7833488,S
한우세계,032-344-9997,경기도 부천시 범안로 130-21,경기도 부천시 범박동 151-2번지,37.46899056,126.8078519,S
힐공인중개사무소,032-344-5888,경기도 부천시 범안로 77,경기도 부천시 범박동 154-2번지,37.47454366,126.8096576,S
CU편의점(소사현대점),032-664-2693,,경기도 부천시 범박동 154-2번지 부천범박힐스테이트1단지,37.47454366,126.8096576,S
CU편의점(소사3단지점),032-344-7600,,경기도 부천시 범박동 155-1번지 부천범박힐스테이트3단지아파트,37.47254462,126.8103749,S
씨채널안경점,032-351-0110,경기도 부천시 범안로 117,경기도 부천시 범박동 155-2번지,37.47112897,126.8097116,S
CU편의점(범박휴먼시아점),032-343-3088,,경기도 부천시 범박동 234-1번지 범박휴먼시아,37.46690364,126.8155213,S
동군텔레콤,032-348-8887,경기도 부천시 범안로 98,경기도 부천시 범박동 32-6번지,37.47298335,126.8086894,S
VAVAS,,경기도 부천시 범안로 118,경기도 부천시 범박동 35-1번지,37.47120869,126.8088749,S
베스트올 편의점(삼정점),032-677-3526,경기도 부천시 석천로 356,경기도 부천시 삼정동 276,37.51836995,126.7662101,S
뽀빠이문구,032-674-7938,경기도 부천시 중동로 437,경기도 부천시 삼정동 296-32,37.51887262,126.7697943,S
대웅약국,032-677-0541,경기도 부천시 중동로 426,경기도 부천시 삼정동 303-1,37.5176753,126.7702957,S
가나다문구,,경기도 부천시 평천로721번길 60,경기도 부천시 삼정동 305,37.51773062,126.7709403,S
천성슈퍼(나들가게),032-682-7712,경기도 부천시 중동로426번길 24,경기도 부천시 삼정동 305-14,37.5177329,126.7721054,S
CU편의점(신흥점),032-681-9479,경기도 부천시 중동로 418,경기도 부천시 삼정동 308-15,37.5170356,126.7702977,S
그린비제과,032-672-1923,,경기도 부천시 삼정동 그린비제과,,,F
(부천시)최호진건강원,032-661-3939,,경기도 부천시 상동 235-101,,,F
(부천시)상동세일마트(구코사마트),032-665-0420,경기도 부천시 장말로200번길 29,경기도 부천시 상동 238,37.49134457,126.7638869,S
(부천시)제일슈퍼,032-652-8563,,경기도 부천시 상동 241번지 241,,,F
(부천시)시민슈퍼,032-612-7973,경기도 부천시 부일로275번길 14,경기도 부천시 상동 319,37.48876112,126.7606387,S
(부천시)역전슈퍼,032-665-6420,경기도 부천시 석천로2번길 74,경기도 부천시 상동 346-5,37.48695617,126.7636069,S
(부천시)한아름문구,032-321-9131,,경기도 부천시 상동 393,37.49559156,126.7524409,S
(부천시)상동하이저마켓(구나들마트),032-323-0039,,경기도 부천시 상동 394-1,37.49551463,126.7544087,S
(부천시)카페장바리,070-4111-0220,,경기도 부천시 상동 399,37.4900638,126.7502431,S
부천삼광전문요양원,032-327-4491,경기도 부천시 석천로 81,경기도 부천시 상동 416-3,37.49465378,126.7607214,S
(부천시)야쿠르트 중동영업점,032-325-0931,경기도 부천시 석천로53번길 11,경기도 부천시 상동 423-4,37.49212033,126.7599155,S
(부천시)오이소마트,032-324-2584,경기도 부천시 석천로25번길 34,경기도 부천시 상동 440-8,37.48992713,126.7580795,S
(부천시)GS25(송내점),032-321-6558,경기도 부천시 부일로221번길 26,경기도 부천시 상동 455번지,37.48942527,126.7550508,S
(부천시)다정마트,032-321-5072,경기도 부천시 평천로 597,경기도 부천시 상동 499-2,37.51575565,126.7566944,S
(부천시)상동할인마트,032-328-3989,경기도 부천시 도약로 33,경기도 부천시 상동 523-11,37.5125406,126.7531081,S
(부천시)동물사랑병원,032-323-8275,경기도 부천시 도약로 39,경기도 부천시 상동 524-4.,37.51245196,126.7537984,S
(부천시)서울메디칼약국,032-217-0065,경기도 부천시 송내대로265번길 85,경기도 부천시 상동 535-1,37.5072624,126.7538609,S
(부천시)GS25(상동서해점),032-327-8328,경기도 부천시 소향로 25,경기도 부천시 상동 546-6,37.50386764,126.7505472,S
(부천시)상동자이공인중개사,032-328-5088,,경기도 부천시 상동 571-1,37.50012444,126.7486373,S
(부천시) 색연필문구점,032-328-7774,,경기도 부천시 상동 571-6번지 백송마을풍림아이원,37.49851094,126.7483035,S
(부천시)송림마트,032-323-8464,경기도 부천시 부흥로 2,경기도 부천시 상동 573-2,37.49690383,126.7426322,S
(부천시)목련약국,032-327-1972,,경기도 부천시 상동 590-1,37.49284143,126.7472485,S
(부천시)상동세종약국,032-328-3560,경기도 부천시 상이로 43,경기도 부천시 상동 600-6,37.49265347,126.7436872,S
(부천시)부천상동우체국,032-323-4082,경기도 부천시 호수로3번길 8-21,경기도 부천시 상동 상동 506-7,37.51392293,126.7506604,S
(부천시)메디칼약국,032-324-6877,경기도 부천시 도약로 29,경기도 부천시 상동 상동 523-8,37.51259337,126.7524972,S
성가요양원,032-340-5100,,경기도 부천시 소사동 2-5,37.48806476,126.7921874,S
짱문구,032-351-0555,경기도 부천시 호현로 447,경기도 부천시 소사본동 144-8번지,37.47779406,126.7925441,S
학생문구,032-349-9986,경기도 부천시 호현로447번길 9,경기도 부천시 소사본동 147-10번지,37.47767624,126.7921601,S
금나와라뚝딱,032-347-5591,경기도 부천시 호현로447번길 5-3,경기도 부천시 소사본동 147-18번지,37.47759574,126.7924881,S
서산문구,032-345-2687,경기도 부천시 은성로 57,경기도 부천시 소사본동 159-48번지,37.47523406,126.7969942,S
미니스톱(소사대로점),032-345-3386,경기도 부천시 은성로 45,경기도 부천시 소사본동 160-44번지,37.47526781,126.7956827,S
신세계이동통신,070-8621-7502,경기도 부천시 소사로 171,경기도 부천시 소사본동 183-11번지,37.47340192,126.795213,S
와와문구,032-345-3892,경기도 부천시 소사로170번길 34,경기도 부천시 소사본동 201-8번지,37.47320744,126.7973502,S
크레용미술교습소,032-347-4599,경기도 부천시 소사로170번길 18,경기도 부천시 소사본동 202-30번지,37.47317877,126.796412,S
자매슈퍼,032-347-0230,경기도 부천시 소사로147번길 23,경기도 부천시 소사본동 234-16번지,37.47123773,126.7941903,S
미니스톱(소사점),032-341-3768,경기도 부천시 은성로 86,경기도 부천시 소사본동 244-86번지,37.47484329,126.8002737,S
영마트,032-341-7439,경기도 부천시 소사로102번길 59,경기도 부천시 소사본동 400-9번지,37.46896068,126.8007983,S
소사로 우체국,032-342-0005,경기도 부천시 소사로 88,경기도 부천시 소사본동 404-2번지,37.46656932,126.7986344,S
ILS영어학원,032-344-0594,경기도 부천시 은성로 135,경기도 부천시 소사본동 407-6번지,37.47293207,126.8049364,S
세븐일레븐(신한대점),032-342-0144,경기도 부천시 호현로 491-1,경기도 부천시 소사본동 94-15번지,37.48134428,126.7927151,S
GS25(송내중앙점),032-667-8655,경기도 부천시 송내대로42번길 58,경기도 부천시 송내동 300번지 102호 103호,37.48693242,126.7564385,S
송내G마트,032-663-2657,경기도 부천시 경인로9번길 78,경기도 부천시 송내동 336-11번지,37.4864016,126.756802,S
위드미편의점,,경기도 부천시 송내대로42번길 97,경기도 부천시 송내동 355-8번지,37.48695551,126.7588807,S
GS25편의점(부천직업학교점),,경기도 부천시 경인로53번길 8,경기도 부천시 송내동 366번지,37.48387047,126.7614912,S
가나종합동물병원,032-665-0075,경기도 부천시 중동로 57,경기도 부천시 송내동 368번지,37.48571099,126.7627177,S
삼성전자 부천점,032-668-9521,경기도 부천시 경인로 107,경기도 부천시 송내동 374-2번지,37.48420622,126.767132,S
예스25시,032-611-5595,경기도 부천시 중동로 30,경기도 부천시 송내동 392-1번지,37.48262313,126.7639712,S
에덴파크,,경기도 부천시 경인로60번길 20,경기도 부천시 송내동 398-1번지,37.48270854,126.7616645,S
코사마트,032-611-1686,,경기도 부천시 송내동 402-4번지 우성빌라,37.48245295,126.7600485,S
미니마트,032-665-3321,경기도 부천시 경인로120번길 88-4,경기도 부천시 송내동 454번지,37.48018132,126.7684109,S
학교문구점,032-666-8835,경기도 부천시 성주로 117-2,경기도 부천시 송내동 461-17번지,37.4796788,126.7694413,S
복사골문구,032-652-2082,,경기도 부천시 송내동 607번지 삼익아파트,37.48062642,126.770241,S
GS편의점(송내삼익점),,경기도 부천시 경인로134번길 89,경기도 부천시 송내동 609번지,37.48001326,126.7699942,S
양천수퍼,032-663-4166,경기도 부천시 마니로24번길 24,경기도 부천시 송내동 679-9번지,37.47753743,126.7709628,S
세미할인마트,032-652-6241,경기도 부천시 서촌로36번길 4,경기도 부천시 송내동 693-7번지,37.48632103,126.7443875,S
늘푸른마트,032-652-1020,경기도 부천시 송내대로27번길 32,경기도 부천시 송내동 701-7번지,37.4860662,126.7515568,S
솔안팬지문구,032-662-4455,경기도 부천시 경인로1185번길 42,경기도 부천시 송내동 704-12번지,37.48554413,126.751796,S
CU편의점(송내남부역점),,경기도 부천시 송내대로 25,경기도 부천시 송내동 708-1번지,37.48578936,126.7527223,S
(부천시)영화식품,032-655-4484,경기도 부천시 부흥로351번길 42,경기도 부천시 심곡동 107-26,37.49429033,126.7821624,S
엠마우스쉼터,032-663-8274,경기도 부천시 부천로80번길 45,경기도 부천시 심곡동 126-12,37.49006322,126.7862455,S
(부천시)365plus(부천늘사랑점),032-665-0508,경기도 부천시 부일로 524,경기도 부천시 심곡동 129-2,37.4848771,126.7882165,S
(부천시)만물슈퍼,032-611-4052,경기도 부천시 부일로505번길 12,경기도 부천시 심곡동 138-4,37.4857663,126.7866875,S
(부천시)하나공인중개사,032-611-5700,,경기도 부천시 심곡동 153-2,,,F
(부천시)이화약국,032-652-8684,경기도 부천시 장말로 294,경기도 부천시 심곡동 326,37.49109541,126.7745732,S
(부천시)통큰딱다구리문구,032-651-7087,경기도 부천시 장말로294번길 7,경기도 부천시 심곡동 326-41,37.49098725,126.7745509,S
(부천시)크레페와 친구들,,경기도 부천시 장말로 310,경기도 부천시 심곡동 327,37.49081937,126.7762702,S
(부천시)8080마트,032-613-8080,경기도 부천시 조마루로358번길 17,경기도 부천시 심곡동 33,37.49750915,126.7833856,S
(부천시)자매분식,032-662-3363,경기도 부천시 장말로294번길 38,경기도 부천시 심곡동 334-9,37.48962573,126.7740236,S
(부천시)심곡동우체국,032-215-9978,경기도 부천시 부일로 412,경기도 부천시 심곡동 360-22.,37.48659276,126.7757741,S
(부천시)한국야쿠르트심곡점,032-656-7581,경기도 부천시 부흥로374번길 25-5,경기도 부천시 심곡동 366-4,37.49073244,126.7827156,S
(부천시)심곡할인마트,032-666-5329,,경기도 부천시 심곡동 367-2,37.4911469,126.7827144,S
(부천시)코사나들가게,032-614-4561,경기도 부천시 신흥로112번길 28,경기도 부천시 심곡동 440-3,37.4932587,126.7797682,S
(부천시)중앙샛별문구,032-666-6789,경기도 부천시 조마루로366번길 67,경기도 부천시 심곡동 92-13,37.49550816,126.7829617,S
(부천시)원미쎈타약국,032-668-7313,경기도 부천시 부천로 107,경기도 부천시 심곡동 93-13,37.49373626,126.7846065,S
목향마트,032-611-4513,,경기도 부천시 심곡본동 581-15번지 목향아트빌,37.48006731,126.7746068,S
낙원슈퍼,032-652-2810,경기도 부천시 경인로194번길 64,경기도 부천시 심곡본동 600-12번지,37.48089916,126.7761305,S
강남분식,,경기도 부천시 심곡로67번길 15,경기도 부천시 심곡본동 619-1번지,37.47770864,126.7756088,S
봉구스밥버거,,경기도 부천시 심곡로77번길 5,경기도 부천시 심곡본동 630-25번지,37.4770411,126.7751926,S
동진하이퍼,032-668-3880,경기도 부천시 경인로216번길 78,경기도 부천시 심곡본동 648-11번지,37.47973275,126.7786892,S
마리오슈퍼,032-667-5368,경기도 부천시 성주로 267,경기도 부천시 심곡본동 675-1번지,37.48220759,126.7819379,S
욱일문구,032-668-6385,경기도 부천시 성주로 257-1,경기도 부천시 심곡본동 678-17번지,37.48137832,126.7817482,S
도날드문구사,032-654-4710,경기도 부천시 성주로 263-3,경기도 부천시 심곡본동 678-2번지,37.48192803,126.7818031,S
대박핫도그,,경기도 부천시 성주로 266,경기도 부천시 심곡본동 731-27번지,37.48190157,126.7821084,S
파랑새문구,032-613-9016,경기도 부천시 심곡로 78,경기도 부천시 심곡본동 804-5번지,37.47709446,126.7748306,S
색종이,032-613-9490,경기도 부천시 심곡로 82-1,경기도 부천시 심곡본동 806-7번지,37.47657145,126.7746061,S
코사마트,032-611-1686,경기도 부천시 심곡로 98,경기도 부천시 심곡본동 810-7번지,37.47554303,126.7739422,S
한국야쿠르트,032-345-2563,,경기도 부천시 안곡로 89-0,,,F
(부천시)멘토공인중개사무소,032-678-8666,경기도 부천시 신흥로321번길 28-20,경기도 부천시 약대동 169-59,37.51300563,126.7736016,S
(부천시)CU약대행운점,032-672-2405,,경기도 부천시 약대동 169-6번지 현대아파트,37.51159071,126.7734137,S
(부천시)한국야쿠르트 약대점,032-678-2174,,경기도 부천시 약대동 175,37.51076039,126.7726924,S
휴먼시아 2단지,032-684-3384,,경기도 부천시 여월동 320-0,37.51292611,126.8043218,S
미가헤어,032-683-7737,경기도 부천시 여월로 60,경기도 부천시 여월동 330 107호,37.51092797,126.8055486,S
색연필,032-679-3555,경기도 부천시 여월로 72,경기도 부천시 여월동 334 103호,37.511677,126.8062706,S
영아트(여월초),032-671-3752,경기도 부천시 성곡로57번길 22-9,경기도 부천시 여월동 54-18,37.51859009,126.7971579,S
(부천시)CU역곡은하점,032-351-6307,경기도 부천시 역곡로20번길 49,경기도 부천시 역곡동 109-19,37.48782146,126.8134565,S
(부천시)한국공인중개사,032-344-8944,,경기도 부천시 역곡동 212-2,37.49278612,126.8135683,S
(부천시)한국마트,032-344-3570,,경기도 부천시 역곡동 212-2,37.49278612,126.8135683,S
(부천시)동네할인마트,032-342-8612,경기도 부천시 부일로791번길 29,경기도 부천시 역곡동 214-19,37.48962739,126.8159282,S
(부천시)CU편의점,032-341-0510,경기도 부천시 부일로 711,경기도 부천시 역곡동 50-2,37.48512875,126.8086806,S
(부천시)세븐일레븐 부천역곡본점,032-344-8422,경기도 부천시 지봉로63번길 20,경기도 부천시 역곡동 63-10번지,37.48753923,126.8061529,S
(부천시)세븐일레븐 역곡현대점,032-341-8188,경기도 부천시 역곡로 61,경기도 부천시 역곡동 65-20,37.49040021,126.809074,S
마마문구,032-671-5616,경기도 부천시 오정로252번길 80,경기도 부천시 오정동 114-54,37.52858806,126.7903765,S
cu편의점(오정구청점),032-679-5031,경기도 부천시 성오로 144,경기도 부천시 오정동 137-35,37.52634157,126.7988788,S
학사슈퍼,032-682-6658,경기도 부천시 오정로252번길 72-1,경기도 부천시 오정동 179-10,37.52837133,126.7901056,S
오정오토바이,032-671-4534,경기도 부천시 오정로 209-4,경기도 부천시 오정동 207-8,37.52739414,126.782936,S
